2019/04/01 23:11:18 nsqd v0.2.16
2019/04/01 23:17:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:18:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:18:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:18:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:18:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:19:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:19:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:19:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:19:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:20:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:20:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:20:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:20:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:21:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:21:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:21:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:21:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:22:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:22:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:22:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:22:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:23:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:23:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:23:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:23:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:24:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:24:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:24:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:24:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:25:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:25:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:25:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:25:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:26:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:26:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:26:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:26:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:27:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:27:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:27:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:27:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:28:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:28:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:28:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:28:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:29:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:29:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:29:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:29:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:30:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:30:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:30:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:30:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:31:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:31:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:31:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:31:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:32:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:32:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:32:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:32:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:33:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:33:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:33:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:33:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:34:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:34:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:34:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:34:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:35:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:35:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:35:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:35:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:36:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:36:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:36:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:36:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:37:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:37:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:37:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:37:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:38:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:38:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:38:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:38:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:39:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:39:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:39:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:39:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:40:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:40:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:40:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:40:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:41:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:41:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:41:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:41:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:42:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:42:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:42:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:42:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:43:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:43:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:43:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:43:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:44:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:44:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:44:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:44:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:45:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:45:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:45:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:45:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:46:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:46:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:46:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:46:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:47:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:47:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:47:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:47:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:48:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:48:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:48:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:48:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:49:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:49:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:49:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:49:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:50:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:50:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:50:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:50:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:51:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:51:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:51:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:51:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:52:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:52:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:52:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:52:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:53:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:53:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:53:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:53:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:54:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:54:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:54:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:54:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:55:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:55:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:55:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:55:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:56:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:56:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:56:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:56:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:57:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:57:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:57:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:57:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:58:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:58:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:58:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:58:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:59:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:59:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:59:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/01 23:59:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:00:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:00:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:00:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:00:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:01:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:01:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:01:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:01:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:02:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:02:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:02:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:02:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:03:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:03:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:03:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:03:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:04:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:04:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:04:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:04:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:05:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:05:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:05:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:05:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:06:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:06:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:06:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:06:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:07:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:07:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:07:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:07:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:08:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:08:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:08:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:08:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:09:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:09:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:09:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:09:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:10:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:10:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:10:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:10:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:11:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:11:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:11:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:11:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:12:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:12:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:12:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:12:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:13:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:13:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:13:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:13:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:14:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:14:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:14:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:14:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:15:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:15:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:15:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:15:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:16:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:16:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:16:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:16:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:17:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:17:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:17:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:17:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:18:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:18:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:18:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:18:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:19:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:19:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:19:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:19:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:20:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:20:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:20:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:20:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:21:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:21:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:21:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:21:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:22:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:22:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:22:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:22:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:23:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:23:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:23:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:23:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:24:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:24:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:24:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:24:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:25:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:25:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:25:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:25:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:26:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:26:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:26:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:26:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:27:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:27:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:27:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:27:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:28:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:28:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:28:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:28:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:29:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:29:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:29:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:29:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:30:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:30:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:30:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:30:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:31:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:31:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:31:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:31:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:32:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:32:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:32:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:32:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:33:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:33:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:33:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:33:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:34:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:34:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:34:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:34:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:35:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:35:18 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:35:33 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:35:48 LOOKUPD(192.168.1.189:4160): sending heartbeat
2019/04/02 00:36:03 LOOKUPD(192.168.1.189:4160): sending heartbeat
